Postinumero,Postinumeroalueen nimi,Postinumeroalueen pinta-ala,"Asukkaat yhteensä, 2018 (HE)","Miehet, 2018 (HE)","Naiset, 2018 (HE)","Asukkaiden keski-ikä, 2018 (HE)","0-2-vuotiaat, 2018 (HE)","3-6-vuotiaat, 2018 (HE)","Perusasteen suorittaneet, 2018 (KO)","Koulutetut yhteensä, 2018 (KO)","Ylioppilastutkinnon suorittaneet, 2018 (KO)","Ammatillisen tutkinnon suorittaneet, 2018 (KO)","Alemman korkeakoulututkinnon suorittaneet, 2018 (KO)","Ylemmän korkeakoulututkinnon suorittaneet, 2018 (KO)","Asukkaiden keskitulot, 2017 (HR)","Asukkaiden mediaanitulot, 2017 (HR)","Alimpaan tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Keskimmäiseen tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Ylimpään tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Taloudet yhteensä, 2018 (TE)","Talouksien keskikoko, 2018 (TE)","Asumisväljyys, 2018 (TE)","Nuorten yksinasuvien taloudet, 2018 (TE)","Lapsettomat nuorten parien taloudet, 2018 (TE)","Lapsitaloudet, 2018 (TE)","Pienten lasten taloudet, 2018 (TE)","Alle kouluikäisten lasten taloudet, 2018 (TE)","Kouluikäisten lasten taloudet, 2018 (TE)","Teini-ikäisten lasten taloudet, 2018 (TE)","Aikuisten taloudet, 2018 (TE)","Eläkeläisten taloudet, 2018 (TE)","Talouksien keskitulot, 2017 (TR)","Talouksien mediaanitulot, 2017 (TR)","Alimpaan tuloluokkaan kuuluvat taloudet, 2017 (TR)","Keskimmäiseen tuloluokkaan kuuluvat taloudet, 2017 (TR)","Ylimpään tuloluokkaan kuuluvat taloudet, 2017 (TR)","Työpaikat yhteensä, 2017 (TP)","Asukkaat yhteensä, 2017 (PT)","Työlliset, 2017 (PT)","Työttömät, 2017 (PT)","Lapset 0-14 -vuotiaat, 2017 (PT)","Opiskelijat, 2017 (PT)","Eläkeläiset, 2017 (PT)","Muut, 2017 (PT)",postitoimipaikka,postitoimipaikka_sv,lyhenne,lyhenne_sv,alkupvm,loppupvm,postinumerokunta,laaninimi_sv,kuntaalkupvm,elynimi_en,laanikoodi,avinimi_sv,kielisuhdenimi_sv,laaninimi,kuntaryhmanimi_sv,kuntanimi,maakuntanimi_en,avinimi_en,maakuntakoodi,seutukuntakoodi,kuntanimi_en,kuntaryhmanimi_en,elynimi_sv,kielisuhdenimi,seutukuntanimi_en,kuntakoodi,elykoodi,elynimi,kuntanimi_sv,laaninimi_en,seutukuntanimi_sv,kielisuhdekoodi,maakuntanimi,avinimi,kuntaryhmanimi,kuntaloppupvm,kielisuhdenimi_en,avikoodi,seutukuntanimi,maakuntanimi_sv,kuntaryhmakoodi,frequency
27500,Kauttua (Eura),78971685,3215,1615,1600,42,83,157,728,1809,100,1341,239,129,24831,23046,393,1648,521,1574,"2,0","46,3",160,47,367,72,168,178,153,682,526,40645,35311,303,983,286,1132,3254,1445,133,597,172,831,465,KAUTTUA,KAUTTUA,0,0,1988-11-01,NULL,050,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Tätortskommuner,Eura,Satakunta,Southwestern Finland AVI,4,41,Eura,Semi urban municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,50,3,Satakunnan ELY-keskus,Eura,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Taajaan asutut kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,2,157
27510,Eura Keskus (Eura),159163104,4120,2015,2105,47,112,150,1108,2248,125,1693,273,157,24093,21396,561,2227,588,1978,"2,0","47,0",99,46,390,102,185,177,174,744,853,40384,33249,435,1198,356,2362,4148,1674,112,636,207,1413,466,EURA,EURA,0,0,1988-11-01,NULL,050,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Tätortskommuner,Eura,Satakunta,Southwestern Finland AVI,4,41,Eura,Semi urban municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,50,3,Satakunnan ELY-keskus,Eura,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Taajaan asutut kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,2,150
27600,Hinnerjoki (Eura),126533494,704,368,336,46,15,25,192,372,10,295,44,23,22774,19957,145,334,98,346,"2,0","49,5",25,6,63,14,31,37,32,141,145,37176,31294,95,206,52,160,726,297,19,129,31,233,467,HINNERJOKI,HINNERJOKI,0,0,1986-01-01,NULL,050,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Tätortskommuner,Eura,Satakunta,Southwestern Finland AVI,4,41,Eura,Semi urban municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,50,3,Satakunnan ELY-keskus,Eura,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Taajaan asutut kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,2,25
27640,Honkilahti kk (Eura),42061864,290,149,141,47,7,19,106,131,2,112,13,4,21772,19737,64,150,33,133,"2,2","47,7",3,4,27,6,12,9,12,44,62,40248,33822,32,83,19,92,300,126,7,42,19,102,468,HONKILAHTI KK,HONKILAHTI KK,HONKILH KK,0,1986-01-01,NULL,050,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Tätortskommuner,Eura,Satakunta,Southwestern Finland AVI,4,41,Eura,Semi urban municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,50,3,Satakunnan ELY-keskus,Eura,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Taajaan asutut kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,2,19
27650,Honkilahti (Eura),101112225,308,157,151,50,8,8,87,172,11,135,18,8,20464,18498,74,159,28,160,"1,9","51,6",8,3,26,7,9,14,13,48,89,33257,28917,55,88,19,83,305,115,11,35,14,123,469,HONKILAHTI,HONKILAHTI,HONKILH,0,1986-01-01,NULL,050,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Tätortskommuner,Eura,Satakunta,Southwestern Finland AVI,4,41,Eura,Semi urban municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,50,3,Satakunnan ELY-keskus,Eura,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Taajaan asutut kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,2,8
27670,Mannila (Eura),35791800,157,85,72,47,4,7,46,82,2,71,6,3,23130,20212,27,75,24,77,"2,0","54,6",3,2,15,4,7,8,7,24,38,37578,33969,22,44,12,25,159,52,4,27,11,60,470,MANNILA,MANNILA,0,0,1986-01-01,NULL,050,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Tätortskommuner,Eura,Satakunta,Southwestern Finland AVI,4,41,Eura,Semi urban municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,50,3,Satakunnan ELY-keskus,Eura,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Taajaan asutut kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,2,7
27710,Köyliö Keskus (Säkylä),50685971,1040,529,511,48,23,35,270,593,24,486,58,25,22148,20154,179,587,119,516,"2,0","47,7",26,12,100,19,41,44,44,187,231,37043,32681,139,310,79,284,1065,428,27,143,56,377,471,KÖYLIÖ,KÖYLIÖ,0,0,1996-11-22,NULL,783,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Säkylä,Satakunta,Southwestern Finland AVI,4,41,Säkylä,Rural municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,783,3,Satakunnan ELY-keskus,Säkylä,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,3,35
27730,Tuiskula (Säkylä),14036462,191,91,100,47,7,9,48,114,8,91,8,7,22552,20419,41,93,31,84,"2,3","48,6",3,2,15,4,8,6,5,35,35,45203,40201,19,48,16,39,203,88,7,31,13,56,472,TUISKULA,TUISKULA,0,0,1986-01-01,NULL,783,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Säkylä,Satakunta,Southwestern Finland AVI,4,41,Säkylä,Rural municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,783,3,Satakunnan ELY-keskus,Säkylä,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,3,9
27740,Voitoinen (Säkylä),23942273,147,84,63,47,1,5,38,86,6,74,5,1,20473,17996,43,65,20,72,"2,0","47,0",5,2,13,1,5,9,2,29,31,35464,28140,28,33,13,26,149,62,6,20,6,47,473,VOITOINEN,VOITOINEN,0,0,1986-01-01,NULL,783,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Säkylä,Satakunta,Southwestern Finland AVI,4,41,Säkylä,Rural municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,783,3,Satakunnan ELY-keskus,Säkylä,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,3,5
27750,Yttilä (Säkylä),70725445,319,168,151,51,3,9,88,186,9,151,16,10,22536,21347,56,174,44,160,"2,0","50,8",2,1,22,2,7,13,13,66,73,37300,31538,45,93,28,149,323,119,14,41,13,123,474,KÖYLIÖ,KÖYLIÖ,0,0,1986-01-01,NULL,783,NULL,1990-01-01,Satakunta ELY Centre,NULL,Sydvästra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Säkylä,Satakunta,Southwestern Finland AVI,4,41,Säkylä,Rural municipalities,NTM-centralen i Satakunta,Yksikielinen suomenkielinen kunta,NULL,783,3,Satakunnan ELY-keskus,Säkylä,NULL,Raumo,0,Satakunta,Lounais-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,2,Rauma,Satakunta,3,9
