Postinumero,Postinumeroalueen nimi,Postinumeroalueen pinta-ala,"Asukkaat yhteensä, 2018 (HE)","Miehet, 2018 (HE)","Naiset, 2018 (HE)","Asukkaiden keski-ikä, 2018 (HE)","0-2-vuotiaat, 2018 (HE)","3-6-vuotiaat, 2018 (HE)","Perusasteen suorittaneet, 2018 (KO)","Koulutetut yhteensä, 2018 (KO)","Ylioppilastutkinnon suorittaneet, 2018 (KO)","Ammatillisen tutkinnon suorittaneet, 2018 (KO)","Alemman korkeakoulututkinnon suorittaneet, 2018 (KO)","Ylemmän korkeakoulututkinnon suorittaneet, 2018 (KO)","Asukkaiden keskitulot, 2017 (HR)","Asukkaiden mediaanitulot, 2017 (HR)","Alimpaan tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Keskimmäiseen tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Ylimpään tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Taloudet yhteensä, 2018 (TE)","Talouksien keskikoko, 2018 (TE)","Asumisväljyys, 2018 (TE)","Nuorten yksinasuvien taloudet, 2018 (TE)","Lapsettomat nuorten parien taloudet, 2018 (TE)","Lapsitaloudet, 2018 (TE)","Pienten lasten taloudet, 2018 (TE)","Alle kouluikäisten lasten taloudet, 2018 (TE)","Kouluikäisten lasten taloudet, 2018 (TE)","Teini-ikäisten lasten taloudet, 2018 (TE)","Aikuisten taloudet, 2018 (TE)","Eläkeläisten taloudet, 2018 (TE)","Talouksien keskitulot, 2017 (TR)","Talouksien mediaanitulot, 2017 (TR)","Alimpaan tuloluokkaan kuuluvat taloudet, 2017 (TR)","Keskimmäiseen tuloluokkaan kuuluvat taloudet, 2017 (TR)","Ylimpään tuloluokkaan kuuluvat taloudet, 2017 (TR)","Työpaikat yhteensä, 2017 (TP)","Asukkaat yhteensä, 2017 (PT)","Työlliset, 2017 (PT)","Työttömät, 2017 (PT)","Lapset 0-14 -vuotiaat, 2017 (PT)","Opiskelijat, 2017 (PT)","Eläkeläiset, 2017 (PT)","Muut, 2017 (PT)",postitoimipaikka,postitoimipaikka_sv,lyhenne,lyhenne_sv,alkupvm,loppupvm,postinumerokunta,laaninimi_sv,kuntaalkupvm,elynimi_en,laanikoodi,avinimi_sv,kielisuhdenimi_sv,laaninimi,kuntaryhmanimi_sv,kuntanimi,maakuntanimi_en,avinimi_en,maakuntakoodi,seutukuntakoodi,kuntanimi_en,kuntaryhmanimi_en,elynimi_sv,kielisuhdenimi,seutukuntanimi_en,kuntakoodi,elykoodi,elynimi,kuntanimi_sv,laaninimi_en,seutukuntanimi_sv,kielisuhdekoodi,maakuntanimi,avinimi,kuntaryhmanimi,kuntaloppupvm,kielisuhdenimi_en,avikoodi,seutukuntanimi,maakuntanimi_sv,kuntaryhmakoodi,frequency
00100,Helsinki Keskusta - Etu-Töölö (Helsinki),2353278,18427,8673,9754,41,394,514,1659,14614,2616,3027,2983,5988,42196,27577,2772,6778,6609,10301,"1,8","38,7",2126,874,1339,363,697,555,397,6644,2358,66626,40603,1682,4147,4376,50264,18284,10340,702,1863,1212,3350,817,HELSINKI,HELSINGFORS,HKI,HFORS,1986-01-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,514
00120,Punavuori (Helsinki),414010,7161,3368,3793,40,155,227,679,5523,1062,1216,1040,2205,41657,27523,1096,2508,2566,3961,"1,8","39,5",748,314,593,143,289,246,192,2504,881,65484,41388,625,1572,1736,7880,7108,3984,273,830,402,1230,389,HELSINKI,HELSINGFORS,HKI,HFORS,1998-04-09,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,227
00130,Kaartinkaupunki (Helsinki),428960,1523,735,788,41,41,47,131,1188,245,234,190,519,57766,30479,246,443,618,814,"1,9","43,0",123,53,130,40,70,47,42,500,187,92536,48082,136,257,425,10886,1508,838,41,165,111,263,90,HELSINKI,HELSINGFORS,HKI,HFORS,1986-01-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,47
00140,Kaivopuisto - Ullanlinna (Helsinki),931841,7921,3586,4335,41,216,254,713,6087,1144,1296,1167,2480,53555,29439,1127,2562,3078,4414,"1,8","41,3",761,325,702,194,353,294,205,2628,1095,82599,42776,693,1656,2055,2684,7865,4158,261,947,479,1560,460,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,254
00150,Eira - Hernesaari (Helsinki),1367328,9385,4324,5061,40,238,281,981,7323,1382,1636,1512,2793,41564,26546,1431,3753,3224,5736,"1,6","34,3",1429,432,704,218,407,285,168,3940,1107,60355,35162,1101,2447,2211,5672,9496,5514,438,972,535,1539,498,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,281
00160,Katajanokka (Helsinki),541136,4577,2135,2442,44,121,170,539,3323,531,830,635,1327,41855,28098,633,1592,1589,2317,"2,0","40,2",163,146,422,107,207,188,145,1086,819,69459,44729,305,974,1025,3579,4541,2097,143,627,285,1177,212,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,170
00170,Kruununhaka (Helsinki),713343,7495,3482,4013,41,181,253,661,5786,1017,1183,1072,2514,37435,28489,1098,2599,2726,4056,"1,8","38,0",677,263,661,169,327,262,207,2461,958,59722,42093,609,1642,1785,9198,7461,4167,270,892,526,1318,288,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,253
00180,Kamppi - Ruoholahti (Helsinki),1735293,14020,6741,7279,39,419,487,1901,10129,1679,2861,2244,3345,31986,26037,2084,5755,4106,7749,"1,8","33,6",1328,624,1257,391,683,495,344,4947,1577,49825,37064,1261,3715,2690,20621,13872,7721,645,1683,860,2260,703,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,487
00190,Suomenlinna (Helsinki),765012,707,347,360,38,19,39,79,445,69,160,74,142,27710,25728,89,288,182,294,"2,4","30,9",14,9,101,18,46,58,35,131,64,50104,44274,38,180,90,446,743,372,36,168,41,101,25,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,39
00200,Lauttasaari (Helsinki),2619434,15817,7260,8557,40,525,670,1457,11756,1769,2743,2537,4707,34141,27378,1939,6171,5161,8717,"1,8","33,6",1550,762,1609,492,897,662,408,5060,2076,52182,37884,1356,4098,3234,2361,15786,8660,586,2238,917,2882,503,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,670
00210,Vattuniemi (Helsinki),1478221,8509,3949,4560,42,321,403,765,6261,688,1612,1310,2651,39850,30678,783,2888,3287,4426,"1,9","36,8",426,330,916,295,534,378,226,2197,1327,63170,48064,485,1741,2171,4704,8412,4298,245,1306,365,1926,272,HELSINKI,HELSINGFORS,HKI,HFORS,1996-06-20,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,403
00220,Jätkäsaari (Helsinki),684781,6901,3271,3630,32,307,334,660,5177,1085,1286,1348,1458,27181,23589,1036,2604,1398,3716,"1,9","29,6",948,554,699,279,471,217,116,2653,372,43123,33925,700,1583,902,1177,5884,3610,195,758,681,455,185,HELSINKI,HELSINGFORS,HKI,HFORS,2008-12-28,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,334
00230,Ilmala (Helsinki),171851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591,0,0,0,0,0,0,0,HELSINKI,HELSINGFORS,HKI,HFORS,1990-05-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,0
00240,Länsi-Pasila (Helsinki),2248864,5563,2542,3021,41,165,179,854,3993,633,1416,886,1058,25382,23045,808,2628,1125,3009,"1,8","33,5",325,290,447,155,263,151,123,1721,851,41595,35384,463,1620,699,13647,5261,2597,280,586,388,1218,192,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,179
00250,Taka-Töölö (Helsinki),3065419,11359,5081,6278,39,315,326,1086,8961,1611,2148,2002,3200,30448,25958,1544,5036,3433,6846,"1,6","33,4",1761,616,849,301,487,313,202,4696,1321,44651,33173,1201,3354,2241,7141,11277,6677,457,1124,689,1922,408,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,326
00260,Keski-Töölö (Helsinki),751805,5480,2500,2980,45,114,131,704,4221,714,949,896,1662,36039,27031,785,2206,1939,3113,"1,7","38,8",546,229,351,98,181,145,98,1820,947,54972,37570,535,1332,1281,7295,5478,2805,190,484,321,1407,271,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,131
00270,Pohjois-Meilahti (Helsinki),864732,7775,3389,4386,39,192,247,919,5688,984,1569,1202,1933,28463,24383,1078,3486,1998,4557,"1,7","31,6",1001,340,698,174,332,326,235,2909,970,41647,31607,920,2361,1210,1847,7723,4227,404,998,539,1301,254,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,247
00280,Ruskeasuo (Helsinki),822672,2990,1331,1659,40,76,103,315,2288,513,564,452,759,27141,23438,522,1341,711,1616,"1,7","31,7",294,140,241,72,130,109,54,1009,370,41635,31118,332,836,442,5463,2963,1579,110,340,312,524,98,HELSINKI,HELSINGFORS,HKI,HFORS,1988-11-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,103
00290,Meilahden sairaala-alue (Helsinki),268739,148,56,92,43,5,7,15,117,4,43,24,46,39325,29092,13,63,53,95,"1,6","41,9",22,4,11,5,8,3,1,65,19,55182,36751,7,46,39,10980,143,87,5,14,1,31,5,HELSINKI,HELSINGFORS,HKI,HFORS,1988-10-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,7
00300,Pikku Huopalahti (Helsinki),851105,5799,2575,3224,41,173,272,936,3729,513,1483,701,1032,26617,24187,785,2610,1266,2894,"2,0","32,2",217,176,619,159,319,294,216,1496,790,41789,34668,528,1653,710,2601,5809,2629,317,979,443,1221,220,HELSINKI,HELSINGFORS,HKI,HFORS,1988-11-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,272
00310,Kivihaka (Helsinki),621966,913,392,521,41,34,24,116,689,96,232,180,181,26818,24419,122,451,210,582,"1,6","32,6",123,46,71,32,48,22,13,377,134,37072,29430,119,307,141,563,890,480,48,95,60,166,41,HELSINKI,HELSINGFORS,HKI,HFORS,1990-03-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,24
00320,Etelä-Haaga (Helsinki),1942280,10199,4571,5628,40,256,338,1148,7797,1226,2129,1902,2540,26814,24401,1382,5089,2517,6300,"1,6","31,6",1833,520,775,243,445,305,202,4360,1175,37412,29294,1378,3366,1578,1927,10231,5780,475,1086,698,1890,302,HELSINKI,HELSINGFORS,HKI,HFORS,1997-01-24,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,338
00330,Munkkiniemi (Helsinki),1726680,8818,3840,4978,44,231,341,880,6486,983,1654,1201,2648,41423,27900,1084,3256,3044,4798,"1,8","38,9",627,247,860,220,422,389,282,2234,1732,63852,39047,748,2083,1952,2316,8848,4080,295,1237,624,2335,277,HELSINKI,HELSINGFORS,HKI,HFORS,1988-11-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,341
00340,Kuusisaari-Lehtisaari (Helsinki),1008214,1767,879,888,44,37,62,177,1256,213,258,199,586,81403,33289,280,385,729,767,"2,3","53,0",32,24,194,35,76,82,89,321,258,152857,66412,86,196,458,395,1722,785,50,264,134,388,101,HELSINKI,HELSINGFORS,HKI,HFORS,1997-04-11,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,62
00350,Munkkivuori-Niemenmäki (Helsinki),2211028,9280,4203,5077,40,210,371,1153,6634,1075,2168,1396,1995,26989,24178,1445,4117,2274,5343,"1,7","31,9",974,338,911,194,445,427,294,3230,1214,39405,30367,1195,2842,1328,1908,9309,4732,444,1253,747,1830,303,HELSINKI,HELSINGFORS,HKI,HFORS,1988-11-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,371
00360,Pajamäki (Helsinki),539398,1868,879,989,41,66,70,278,1334,177,481,299,377,25205,23575,258,928,395,1147,"1,6","30,8",214,74,153,60,98,57,34,731,265,35648,29816,252,611,256,67,1825,915,118,222,122,378,70,HELSINKI,HELSINGFORS,HKI,HFORS,1988-11-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,70
00370,Reimarla (Helsinki),3126200,6544,3178,3366,39,223,325,1305,3971,581,1612,796,982,25902,23334,959,2894,1357,3209,"2,0","33,2",374,206,706,194,371,299,225,1633,880,42431,34312,631,1794,748,4633,6498,2909,349,1099,511,1308,322,HELSINKI,HELSINGFORS,HKI,HFORS,1988-11-01,NULL,091,NULL,1990-01-01,Uusimaa ELY Centre,NULL,Södra Finlands Regionalförvaltningsverk,Tvåspråkiga kommuner med finska som flertalets språk,NULL,Urbana kommuner,Helsinki,Uusimaa,Southern Finland AVI,1,11,Helsinki,Urban municipalities,NTM-centralen i Nyland,"Kaksikielinen kunta, enemmistön kieli on suomi",NULL,91,1,Uudenmaan ELY-keskus,Helsingfors,NULL,Helsingfors,1,Uusimaa,Etelä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Bilingual municipality with Finnish-speaking majority,1,Helsinki,Nyland,1,325
