toimipaikka_oid,nimi,nimi_sv,varhaiskasvatuspaikat,jarjestamismuoto_koodi,kasvatusopillinen_jarjestelma_koodi,toimipaikka_kayntiosoite,toimipaikka_kayntiosoite_postinumero,toimipaikka_kayntiosoite_postitoimipaikka,toimintamuoto_koodi,varda_toiminnallinenpainotus.toimintapainotus_kytkin,tp01_musiikki,tp02_liikunta,tp03_kuvataide,tp04_tiede,tp05_draama,tp06_ymparisto_ja_luonto,tp07_seikkailu,tp08_media,tp09_maailmankatsomuksellinen,tp99_muu,kielipainotus_kytkin,kielipainotus_fi,kielipainotus_sv,kielipainotus_en,kielipainotus_muu,alkamis_pvm,paattymis_pvm,jarjestaja_oid,jarjestaja_nimi,jarjestaja_y_tunnus,jarjestaja_yritysmuoto,jarjestaja_ytjkieli,jarjestaja_kayntiosoite,jarjestaja_kayntiosoite_postinumero,jarjestaja_kayntiosoite_postitoimipaikka,jarjestaja_alkamis_pvm,jarjestaja_paattymis_pvm
1.2.246.562.10.10115471889,Otokylän päiväkoti,Otokylän päiväkoti,33,['jm01'],kj98,Otokuja 3,90150,OULU,tm01,False,0,0,0,0,0,1,0,0,0,1,False,1,0,0,,2012-01-01,,1.2.246.562.10.346830761110,Helsingin kaupunki,0201256-6,KUNTA,,Hämeentie 11 A,00530,HELSINGFORS,1978-06-30,
1.2.246.562.10.10120330682,Päiväkoti Pikku-Äijä,Päiväkoti Pikku-Äijä,144,['jm01'],kj98,Äijälänkuja 1,61800,KAUHAJOKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2013-02-28,,1.2.246.562.10.42080013198,Polvijärven kunta,0169823-6,KUNTA,,Polvijärventie 15,83700,POLVIJÄRVI,1978-03-15,
1.2.246.562.10.10174558139,PÄIVÄKOTI PIKKU-TRIMMI,PÄIVÄKOTI PIKKU-TRIMMI,85,['jm01'],kj98,Tuurinkyläntie 44,63610,TUURI,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,1,0,,2000-01-01,,1.2.246.562.10.25412665926,Tornion kaupunki,0193524-6,KUNTA,,Suensaarenkatu 4,95400,TORNIO,1978-03-15,
1.2.246.562.10.10190088624,Takahuhdin päiväkoti,Takahuhdin päiväkoti,126,['jm01'],kj98,Hintsankatu 4,33560,TAMPERE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2015-05-01,,1.2.246.562.10.38794231886,Kinnulan kunta,0242816-6,KUNTA,,Keskustie 45,00000,,1978-12-17,
1.2.246.562.10.10297107582,TUOMAALAN KOULU,TUOMAALAN KOULU,8,['jm01'],kj98,TORISEVANTIE 17,32810,PEIPOHJA,tm01,True,0,0,0,1,0,0,0,0,0,0,True,1,0,0,,2001-11-01,,1.2.246.562.10.56820737825,Turun kaupunki,0204819-8,KUNTA,,Yliopistonkatu 27,20101,ÅBO,1978-06-30,
1.2.246.562.10.10313174400,Simunan päiväkoti,Simunan päiväkoti,128,['jm01'],kj98,Simunantie 10,60200,SEINÄJOKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2009-08-01,,1.2.246.562.10.23652556442,Hattulan kunta,0145801-3,KUNTA,,Myllytie 33,13720,PAROLA,1978-03-15,
1.2.246.562.10.10325444718,PÄIVÄKOTI HIIRENKORVA,PÄIVÄKOTI HIIRENKORVA,74,['jm01'],kj98,PULKKILANTIE 13 B,92600,PULKKILA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,1975-01-01,,1.2.246.562.10.57993240753,Jakobstads stad,0209242-0,KUNTA,,Strengbergsgatan 1,68600,JAKOBSTAD,1978-06-30,
1.2.246.562.10.10379565145,GENERALSHAGENS SKOLA,GENERALSHAGENS SKOLA,21,['jm01'],kj98,DROTTNINGGATAN 21,07900,LOVISA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2013-08-01,,1.2.246.562.10.31167956643,Tuusulan kunta,0131661-3,KUNTA,,Hyryläntie 16,04300,TUUSULA,1978-03-15,
1.2.246.562.10.10476196042,Maaningan päiväkoti,Maaningan päiväkoti,78,['jm01'],kj98,Maaningantie 49 C,71750,MAANINKA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,so,2019-01-01,,1.2.246.562.10.20841697285,Heinäveden kunta,0164308-3,KUNTA,,Kermanrannantie 7,79700,HEINÄVESI,1978-03-15,
1.2.246.562.10.10502714701,Nopon päiväkoti,Nopon päiväkoti,21,['jm01'],kj98,Nopon koulukuja 9,05620,HYVINKÄÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2005-08-01,,1.2.246.562.10.65347978267,Forssan kaupunki,0145626-1,KUNTA,,Turuntie 18,30100,FORSSA,1978-03-15,
1.2.246.562.10.10517688759,KISAKALLION PÄIVÄKOTI,KISAKALLION PÄIVÄKOTI,75,['jm01'],kj98,TANHUTIE 10,21420,LIETO,tm01,False,1,0,0,0,0,0,0,0,0,0,False,1,0,0,,2018-08-01,,1.2.246.562.10.60868389325,Perhon kunta,0181464-7,KUNTA,,Keskustie 2,69950,PERHO,1978-03-15,
1.2.246.562.10.10566289129,PÄIVÄKOTI LAMPAANPOLSKA,PÄIVÄKOTI LAMPAANPOLSKA,128,['jm01'],kj98,OINASKATU 8,04430,JÄRVENPÄÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,1990-01-01,,1.2.246.562.10.170868645710,Kärsämäen kunta,0186511-0,KUNTA,,Haapajärventie 1,86710,KÄRSÄMÄKI,1978-03-15,
1.2.246.562.10.10574912373,Päiväkoti Helmi,Päiväkoti Helmi,133,['jm01'],kj98,Tilanomistajantie 2,06400,PORVOO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2018-05-15,,1.2.246.562.10.895479029510,Lopen kunta,0150919-1,KUNTA,,YHDYSTIE 5,12700,LOPPI,1978-03-15,
1.2.246.562.10.10706370219,KELLOSEPÄN PÄIVÄKOTI,KELLOSEPÄN PÄIVÄKOTI,99,['jm01'],kj98,KELLOSEPÄNKATU 19,44200,SUOLAHTI,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2015-08-03,,1.2.246.562.10.72694583476,Mynämäen kunta,2048364-4,KUNTA,,Keskuskatu 21,23100,MYNÄMÄKI,2006-07-13,
1.2.246.562.10.10752996818,Vuorentaustan päiväkoti,Vuorentaustan päiväkoti,63,['jm01'],kj98,Välimäenkuja 8,33430,VUORENTAUSTA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,2006-01-01,,1.2.246.562.10.48894802817,Kristinestad stad,0216509-5,KUNTA,,Rådhuset,64101,KRISTIINANKAUPUNKI,1978-09-18,
1.2.246.562.10.10771238911,Parolanpolun päivähoitoyksikkö,Parolanpolun päivähoitoyksikkö,84,['jm01'],kj98,Parolanpolku 9,20360,TURKU,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.65030953759,Muonion kunta,0191824-3,KUNTA,,Puthaanrannantie 15,99300,MUONIO,1978-03-15,
1.2.246.562.10.10784562174,Päiväkoti Lemmikki,Päiväkoti Lemmikki,140,['jm01'],kj98,Ojurintie 4,28610,PORI,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,0,0,,2000-01-01,,1.2.246.562.10.35005580424,Akaan kaupunki,2050864-5,KUNTA,,Myllytie 3,37800,AKAA,2006-08-02,
1.2.246.562.10.10790743891,KUIVANIEMEN PÄIVÄKOTI,KUIVANIEMEN PÄIVÄKOTI,28,['jm01'],kj98,OPINTIE 30,95100,KUIVANIEMI,tm01,True,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2008-08-01,,1.2.246.562.10.76561655879,Kiuruveden kaupunki,0170843-0,KUNTA,,Harjukatu 2,74700,KIURUVESI,1978-03-15,
1.2.246.562.10.10820513678,PÄIVÄKOTI METSÄTÄHTI,PÄIVÄKOTI METSÄTÄHTI,126,['jm01'],kj98,JALMARINTIE 3,27150,EURAJOKI,tm01,True,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2014-10-06,,1.2.246.562.10.61604535619,Ruokolahden kunta,0163013-5,KUNTA,,Virastotie 3,56100,RUOKOLAHTI,1978-03-15,
1.2.246.562.10.10832740228,Vilkunan päiväkoti,Vilkunan päiväkoti,84,['jm01'],kj98,Koivuahontie 20,85500,NIVALA,tm01,False,1,0,0,0,0,0,0,0,0,0,False,1,0,1,,2007-08-01,,1.2.246.562.10.66376752763,Toholammin kunta,0182779-8,KUNTA,,Lampintie 5,69300,TOHOLAMPI,1978-03-15,
1.2.246.562.10.10899019276,Professorintien päiväkoti,Professorintien päiväkoti,105,['jm01'],kj98,Kirkkotie 30,01820,KLAUKKALA,tm01,False,0,0,0,0,0,0,0,1,1,0,False,1,0,0,,2010-01-01,,1.2.246.562.10.48836293729,Liedon kunta,0134698-6,KUNTA,,KIRKKOTIE 13,21420,LIETO,1978-03-15,
1.2.246.562.10.10938622767,PK Pihlaja,PK Pihlaja,154,['jm01'],kj98,Pihlajatie 32,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1953-10-23,,1.2.246.562.10.59347432821,Seinäjoen kaupunki,1928736-3,KUNTA,,Kirkkokatu 6,60100,SEINÄJOKI,2004-11-09,
1.2.246.562.10.10941339607,Omenapuu,Omenapuu,24,['jm01'],kj98,Einontie 5,69600,Kaustinen,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2018-09-03,,1.2.246.562.10.67610565649,Huittisten kaupunki,0203762-4,KUNTA,,Risto Rytin katu 36,32700,HUITTINEN,1978-06-30,
1.2.246.562.10.10998951171,Kirkonmäen päiväkoti,Kirkonmäen päiväkoti,66,['jm01'],kj98,Ventuksentie 27,67700,KOKKOLA,tm01,False,0,0,1,0,0,0,0,0,0,0,False,1,0,0,,1999-01-01,,1.2.246.562.10.535555943810,Urjalan kunta,0157323-0,KUNTA,,TAMPEREENTIE,31760,URJALA,1978-03-15,
1.2.246.562.10.11021713927,TAIKATAKIN ESIOPETUS,TAIKATAKIN ESIOPETUS,21,['jm01'],kj98,SEMINAARINKATU,26100,RAUMA,tm01,False,0,1,0,0,0,0,0,0,1,0,False,1,0,0,,2019-01-01,,1.2.246.562.10.99547974701,Auran kunta,0132103-3,KUNTA,,Nikkarinkuja 8,21380,AURA,1978-03-15,
1.2.246.562.10.11022573528,Kylänpään päiväkoti,Kylänpään päiväkoti,56,['jm01'],kj98,Kylänpääntie 2,05200,RAJAMÄKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2002-08-01,,1.2.246.562.10.34482399333,Vehmaan kunta,0144561-8,KUNTA,,SAARIKONTIE 8,23200,VINKKILÄ,1978-03-15,
1.2.246.562.10.11039679185,PÄIVÄKOTI MUSTAMÄKI,PÄIVÄKOTI MUSTAMÄKI,26,['jm01'],kj98,PUKKIMÄENTIE 4,04600,MÄNTSÄLÄ,tm01,False,1,0,1,0,0,0,0,0,0,0,False,1,0,0,ru,1981-10-01,,1.2.246.562.10.56081906382,Mäntyharjun kunta,0165761-0,KUNTA,,ASEMATIE 3,52700,MÄNTYHARJU,1978-03-15,
1.2.246.562.10.11095493810,Pahkavuoren päiväkoti,Pahkavuoren päiväkoti,87,['jm01'],kj98,Hillerinkuja 3,24100,SALO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,2004-01-01,,1.2.246.562.10.758017749210,Lappajärven kunta,0180516-9,KUNTA,,Maneesintie 5,62600,LAPPAJÄRVI,1978-03-15,
1.2.246.562.10.11120251647,Tarinatahkon päiväkoti,Tarinatahkon päiväkoti,34,['jm01'],kj98,Uitintie 57,73300,NILSIÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2012-12-01,2019-08-31,1.2.246.562.10.90045721975,Ylitornion kunta,0210826-9,KUNTA,,ALKKULANRAITTI 55,95600,YLITORNIO,1978-06-30,
1.2.246.562.10.11184758941,Mäntykummun päiväkoti,Mäntykummun päiväkoti,127,['jm01'],kj98,Hansatie 11,06150,PORVOO,tm01,False,0,1,0,0,0,0,0,0,0,0,False,1,0,0,,2004-08-01,,1.2.246.562.10.83943803144,Ähtärin kaupunki,0184622-7,KUNTA,,Ostolantie 17,63700,ÄHTÄRI,1978-03-15,
1.2.246.562.10.11210130321,HANSAKSEN PÄIVÄKOTI,HANSAKSEN PÄIVÄKOTI,63,['jm01'],kj98,HANSAKSENTIE 3,01150,SÖDERKULLA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,so,1997-11-01,,1.2.246.562.10.35653563805,Lahden kaupunki,0149669-3,KUNTA,,Harjukatu 31,15100,LAHTI,1978-03-15,
1.2.246.562.10.11248734201,Pikiruukin päiväkoti,Pikiruukin päiväkoti,125,['jm01'],kj98,Vanhansatamanlahdentie 12,67200,KOKKOLA,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2012-01-01,,1.2.246.562.10.73157741437,Nousiaisten kunta,0135821-5,KUNTA,,Moisiontie 19,21270,NOUSIAINEN,1978-03-15,
1.2.246.562.10.11250727648,Ojoisten Päiväkoti,Ojoisten Päiväkoti,144,['jm01'],kj98,Mäyräntie 3,13600,Hämeenlinna,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2018-08-01,,1.2.246.562.10.78370733186,Sastamalan kaupunki,0144411-3,KUNTA,,Aarnontie 2 A,38200,SASTAMALA,1978-03-15,
1.2.246.562.10.11293209067,Aitohelmen päiväkoti,Aitohelmen päiväkoti,84,['jm01'],kj98,Klaukkalantie 72,01800,KLAUKKALA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2002-08-01,,1.2.246.562.10.947821707510,Keminmaan kunta,0210469-8,KUNTA,,Kunnantie 3,94400,KEMINMAA,1978-06-30,
1.2.246.562.10.11417416051,Sirkkala daghem och förskola,Sirkkala daghem och förskola,154,['jm01'],kj98,Tähtitorninkatu 4,20700,TURKU,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.82930282486,Kiteen kaupunki,0168900-6,KUNTA,,Kiteentie 25,82500,KITEE,1978-03-15,
1.2.246.562.10.11487026988,Rantavitikan päiväkoti,Rantavitikan päiväkoti,126,['jm01'],kj98,Heinämiehentie 6,96300,ROVANIEMI,tm01,False,0,0,0,0,0,1,0,0,0,0,False,1,0,0,,2002-08-01,,1.2.246.562.10.60147184919,Outokummun kaupunki,0207604-1,KUNTA,,Hovilankatu 2,83501,OUTOKUMPU,1978-06-30,
1.2.246.562.10.11542620262,KARPALO,KARPALO,60,['jm01'],kj98,ASKOLANTIE 26,07500,ASKOLA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,2002-01-01,,1.2.246.562.10.93263719523,Ingå kommun,0126293-4,KUNTA,,Ola Westmans allé 3,10210,INKOO,1978-03-15,
1.2.246.562.10.11558329923,Inkilänmäen päiväkoti,Inkilänmäen päiväkoti,129,['jm01'],kj98,Inkiläntie 9,70340,KUOPIO,tm01,False,0,0,0,1,0,0,0,0,0,0,False,1,0,0,,2003-01-01,,1.2.246.562.10.67019405611,Kajaanin kaupunki,0214958-9,KUNTA,,Pohjolankatu 13,00000,,1978-09-11,
1.2.246.562.10.11572899489,Pumpputorin päiväkoti,Pumpputorin päiväkoti,48,['jm01'],kj02,Koljonniemenkatu 39,70100,KUOPIO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-01-01,,1.2.246.562.10.59286753021,Kuopion kaupunki,0171450-7,KUNTA,,TULLIPORTINKATU 31,70110,KUOPIO,1978-03-15,
1.2.246.562.10.11596601333,Solkikujan päiväkoti,Solkikujan päiväkoti,97,['jm01'],kj98,Solkikuja 6,01600,Vantaa,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1987-08-01,,1.2.246.562.10.29125481084,Kimitoöns kommun,0133833-7,KUNTA,,Arkadiavägen 3,25700,KEMIÖ,1978-03-15,
1.2.246.562.10.11616181241,Pentinpellon päiväkoti,Pentinpellon päiväkoti,48,['jm01'],kj98,Koulutie 16,77700,Rautalampi,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2013-07-29,,1.2.246.562.10.36026576342,Luumäen kunta,0162631-2,KUNTA,,Linnalantie 33,54500,TAAVETTI,1978-03-15,
1.2.246.562.10.11625109134,Roinilan päiväkoti,Roinilan päiväkoti,144,['jm01'],kj98,Nystenintie 6,04500,Kellokoski,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2016-11-01,,1.2.246.562.10.44830339303,Marttilan kunta,0135086-2,KUNTA,,Härkätie 773,21490,MARTTILA,1978-03-15,
1.2.246.562.10.11682540882,Halkokarin päiväkoti Halkokarintie 20,Halkokarin päiväkoti Halkokarintie 20,11,['jm01'],kj98,Halkokarintie 20,67300,KOKKOLA,tm01,False,0,0,0,1,0,0,0,0,0,1,False,1,0,0,,2018-08-01,,1.2.246.562.10.68513112042,Korsholms kommun,0181101-6,KUNTA,,Centrumvägen 4,65610,MUSTASAARI,1978-03-15,
1.2.246.562.10.11704270500,VUOLIJOEN PÄIVÄKOTI,VUOLIJOEN PÄIVÄKOTI,57,['jm01'],kj98,VUOLIJOENTIE 1,88270,VUOLIJOKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2012-01-01,,1.2.246.562.10.74848655804,Haapaveden kaupunki,0184872-4,KUNTA,,Tähtelänkuja 1,86600,HAAPAVESI,1978-03-15,
1.2.246.562.10.11719597400,KYRKBACKENS DAGHEM,KYRKBACKENS DAGHEM,33,['jm01'],kj98,Ventusvägen 27,67700,KOKKOLA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1999-01-01,,1.2.246.562.10.74086792103,Juuan kunta,0168654-2,KUNTA,,POIKOLANTIE 1,83900,JUUKA,1978-03-15,
1.2.246.562.10.11743577071,"Virojoen päiväkoti, Karuselli","Virojoen päiväkoti, Karuselli",21,['jm01'],kj98,Yhdystie 10 as 3,49900,VIROLAHTI,tm01,False,0,0,0,0,1,0,0,0,0,0,False,1,0,0,,2008-01-01,,1.2.246.562.10.90658086633,Raseborgs stad,0131297-0,KUNTA,,Raaseporintie 37,10600,TAMMISAARI,1978-03-15,
1.2.246.562.10.11746154134,PÄIVÄKOTI MAJAKKA,PÄIVÄKOTI MAJAKKA,82,['jm01'],kj98,RUNKOTIE 6,27100,EURAJOKI,tm01,True,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2009-01-19,,1.2.246.562.10.41791878048,Euran kunta,0132239-4,KUNTA,,Satakunnankatu 12,27510,EURA,1978-03-15,
1.2.246.562.10.11838479977,Nissnikun päiväkoti,Nissnikun päiväkoti,106,['jm01'],kj98,Nissenpolku 1 (Liinaharja:Ljusdalantie 7),02430,MASALA,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,2000-01-01,,1.2.246.562.10.20528516584,Valtimon kunta,0207709-5,KUNTA,,Kunnantie 1,75700,VALTIMO,1978-06-30,
1.2.246.562.10.11866271759,Linnakangastalon päiväkoti,Linnakangastalon päiväkoti,160,['jm01'],kj98,Linnakaarto 20,90450,KEMPELE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2008-08-01,,1.2.246.562.10.89906837417,Ranuan kunta,0191974-8,KUNTA,,Aapiskuja 6 B,97700,RANUA,1978-03-15,
1.2.246.562.10.11873800624,NAKERTAJAN PÄIVÄKOTI,NAKERTAJAN PÄIVÄKOTI,121,['jm01'],kj98,JOUSITIE 19,87830,NAKERTAJA,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,1977-01-01,,1.2.246.562.10.21867246585,Someron kaupunki,0153082-0,KUNTA,,JOENSUUNTIE 20,31400,SOMERO,1978-03-15,
1.2.246.562.10.11893090230,ILTAPÄIVÄTOIMINTA,ILTAPÄIVÄTOIMINTA,0,['jm01'],kj98,PAKSUNIEMENTIE 7,82300,RÄÄKKYLÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-08-15,,1.2.246.562.10.90285872595,Pyhäjoen kunta,0189127-1,KUNTA,,Kuntatie 1,00000,,1978-03-15,
1.2.246.562.10.11955823270,Alhoniityn päiväkoti,Alhoniityn päiväkoti,105,['jm01'],kj98,Laajanojankatu 30,37130,NOKIA,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,0,0,,2003-01-20,,1.2.246.562.10.32595826036,Suomussalmen kunta,0189925-7,KUNTA,,Kauppakatu 20,89601,ÄMMÄNSAARI,1978-03-15,
1.2.246.562.10.11992370442,ARPELAN PÄIVÄKOTI,ARPELAN PÄIVÄKOTI,42,['jm01'],kj98,ARPELANTIE 200,95590,TORNIO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2010-03-15,,1.2.246.562.10.90815921417,Rääkkylän kunta,0169967-7,KUNTA,,Kinnulantie 1,82300,RÄÄKKYLÄ,1978-03-15,
1.2.246.562.10.12033649059,Kukolan päivähoitoyksikkö,Kukolan päivähoitoyksikkö,107,['jm01'],kj98,Anniitunkatu 2,20900,TURKU,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2004-01-01,,1.2.246.562.10.70991205496,Nakkilan kunta,0135662-3,KUNTA,,Porintie 11,29250,NAKKILA,1978-03-15,
1.2.246.562.10.12124722682,PK Torpparinmäki,PK Torpparinmäki,70,['jm01'],kj98,Torpparinmäentie 36,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1987-04-13,,1.2.246.562.10.96844643021,Rautavaaran kunta,0172646-0,KUNTA,,Koulutie 1,00000,,1978-03-15,
1.2.246.562.10.12137525643,Kulhon Päiväkoti,Kulhon Päiväkoti,29,['jm01'],kj98,Pönkäniementie 4 a 2,80910,Kulho,tm01,False,0,0,0,1,0,0,0,0,1,0,False,1,0,0,,1986-08-01,,1.2.246.562.10.32554715246,Tyrnävän kunta,0190140-9,KUNTA,,Kunnankuja 4,91800,TYRNÄVÄ,1978-03-15,
1.2.246.562.10.12140547832,PUOLUKKA,PUOLUKKA,34,['jm01'],kj98,LÄÄKÄRINTIE 1,07500,ASKOLA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2010-08-01,,1.2.246.562.10.77043054657,Halsuan kunta,0177826-0,KUNTA,,Kauppisentie 5,69510,HALSUA,1978-03-15,
1.2.246.562.10.12164265923,Gammelbackan päiväkoti,Gammelbackan päiväkoti,127,['jm01'],kj98,Viertotie 3,06400,PORVOO,tm01,False,0,0,0,0,1,0,0,0,0,0,True,1,0,0,,2004-08-01,,1.2.246.562.10.65272201065,Liperin kunta,0169583-6,KUNTA,,Varolantie 3,83100,LIPERI,1978-03-15,
1.2.246.562.10.12176861511,Saturnuksen päiväkoti,Saturnuksen päiväkoti,115,['jm01'],kj98,Kaakkoisväylä 8,01480,Vantaa,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,1983-08-01,,1.2.246.562.10.56897525871,Kurikan kaupunki,0209046-8,KUNTA,,Kärrytie 1,61300,KURIKKA,1978-06-30,
1.2.246.562.10.12184740152,KIVIRANNAN PÄIVÄKOTI,KIVIRANNAN PÄIVÄKOTI,52,['jm01'],kj98,KIVIRANNANTIE 3,95410,KIVIRANTA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2005-08-01,,1.2.246.562.10.85996043247,Ilomantsin kunta,0167589-4,KUNTA,,Soihtulantie 7,82900,ILOMANTSI,1978-03-15,
1.2.246.562.10.12187614040,SAMMATIN PÄIVÄKOTI,SAMMATIN PÄIVÄKOTI,54,['jm01'],kj98,KALEVALANTIE 2 C,09220,SAMMATTI,tm01,False,0,0,0,0,0,0,1,0,0,0,False,1,0,0,,2000-01-01,,1.2.246.562.10.10063814452,Iin kunta,2054621-1,KUNTA,,Jokisuuntie 2,91100,II,2006-08-24,
1.2.246.562.10.12191955116,PÄIVÄKOTI TIKKARI,PÄIVÄKOTI TIKKARI,36,['jm01'],kj98,METSÄTÄHDENTIE 23 A 1-2,82360,ONKAMO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2011-08-01,,1.2.246.562.10.61276451822,Loviisan kaupunki,0203263-9,KUNTA,,Karlskronabulevarden 8,07900,LOVIISA,1978-06-30,
1.2.246.562.10.12202989799,NAPAN PÄIVÄKOTI,NAPAN PÄIVÄKOTI,75,['jm01'],kj98,NAPANTIE 13,45610,KORIA,tm01,False,0,0,0,0,0,1,0,0,0,1,False,1,0,0,,1990-01-01,,1.2.246.562.10.31717716703,Haminan kaupunki,0242496-6,KUNTA,,Fredrikinkatu 4,49400,HAMINA,1978-12-17,
1.2.246.562.10.12283831787,Päivänpaiste,Päivänpaiste,75,['jm01'],kj98,Pohjatuulentie 6,80710,Lehmo,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2002-02-01,,1.2.246.562.10.37266906215,Paltamon kunta,0188808-0,KUNTA,,Vaarankyläntie 7,88300,PALTAMO,1978-03-15,
1.2.246.562.10.12285916917,PK Lunni,PK Lunni,63,['jm01'],kj98,Vattuniemen puistotie 3 c,00099,HELSINGIN KAUPUNKI,tm01,False,0,1,0,0,0,0,0,0,0,0,False,1,0,0,,2014-01-01,,1.2.246.562.10.89190050412,Ristijärven kunta,0189576-6,KUNTA,,Aholantie 28,88400,RISTIJÄRVI,1978-03-15,
1.2.246.562.10.12291918634,Lauritsalan päiväkoti,Lauritsalan päiväkoti,126,['jm01'],kj98,Tietokatu 2,53300,LAPPEENRANTA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2005-01-01,,1.2.246.562.10.55414194963,Kosken Tl kunta,0213007-9,KUNTA,,Härkätie 5,31500,KOSKI TL,1978-05-29,
1.2.246.562.10.12320193555,PÄIVÄKOTI KARHUSET,PÄIVÄKOTI KARHUSET,13,['jm01'],kj98,Markkinatie 5,63400,ALAVUS AS,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2019-01-01,,1.2.246.562.10.90602482102,Limingan kunta,0186553-2,KUNTA,,Iivarinpolku 6,91900,LIMINKA,1978-03-15,
1.2.246.562.10.12359629842,Ristinummen päiväkoti,Ristinummen päiväkoti,90,['jm01'],kj98,Ostospolku 12,65370,VAASA,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,2005-01-01,,1.2.246.562.10.77047788581,Kangasalan Kaupunki,1923299-5,KUNTA,,Kunnantie 1,36200,KANGASALA,2004-10-06,
1.2.246.562.10.12375837932,Ristikiven päiväkoti,Ristikiven päiväkoti,70,['jm01'],kj98,Valkovuokontie 9,40520,JYVÄSKYLÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.71948887212,Kemin kaupunki,0210427-6,KUNTA,,Valtakatu 26,94100,KEMI,1978-06-30,
1.2.246.562.10.12441401176,Gustavsborgs daghem,Gustavsborgs daghem,102,['jm01'],kj98,Skolhusgatan 56,65100,VAASA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2005-01-01,,1.2.246.562.10.14921103447,Lemin kunta,0162576-6,KUNTA,,Toukkalantie 2,54710,LEMI,1978-03-15,
1.2.246.562.10.12480041552,Dressinen Forsbyvägen 348,Dressinen Forsbyvägen 348,8,['jm01'],kj98,Forsbyvägen 348,68920,BENNÄS,tm01,False,0,1,0,0,0,0,0,0,0,0,False,1,1,0,,2016-08-01,,1.2.246.562.10.93032730884,Hyvinkään kaupunki,0125866-0,KUNTA,,Kankurinkatu 4-6,05800,HYVINKÄÄ,1978-03-15,
