toimipaikka_oid,nimi,nimi_sv,varhaiskasvatuspaikat,jarjestamismuoto_koodi,kasvatusopillinen_jarjestelma_koodi,toimipaikka_kayntiosoite,toimipaikka_kayntiosoite_postinumero,toimipaikka_kayntiosoite_postitoimipaikka,toimintamuoto_koodi,varda_toiminnallinenpainotus.toimintapainotus_kytkin,tp01_musiikki,tp02_liikunta,tp03_kuvataide,tp04_tiede,tp05_draama,tp06_ymparisto_ja_luonto,tp07_seikkailu,tp08_media,tp09_maailmankatsomuksellinen,tp99_muu,kielipainotus_kytkin,kielipainotus_fi,kielipainotus_sv,kielipainotus_en,kielipainotus_muu,alkamis_pvm,paattymis_pvm,jarjestaja_oid,jarjestaja_nimi,jarjestaja_y_tunnus,jarjestaja_yritysmuoto,jarjestaja_ytjkieli,jarjestaja_kayntiosoite,jarjestaja_kayntiosoite_postinumero,jarjestaja_kayntiosoite_postitoimipaikka,jarjestaja_alkamis_pvm,jarjestaja_paattymis_pvm
1.2.246.562.10.24590885208,Ollilan Päiväkoti,Ollilan Päiväkoti,45,['jm01'],kj98,Rakentajankatu 25,80160,Joensuu,tm01,False,0,0,0,0,0,1,0,0,0,0,False,1,0,0,,1990-08-01,,1.2.246.562.10.29397001933,Rautjärven kunta,0206951-1,KUNTA,,Simpeleentie 12,56800,SIMPELE,1978-06-30,
1.2.246.562.10.24600329858,Päiväkoti Väinölä,Päiväkoti Väinölä,161,['jm01'],kj98,Joukahaisentie 10,28330,PORI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2000-01-01,,1.2.246.562.10.83043996699,Humppilan kunta,0146456-0,KUNTA,,Kisakuja 2,31640,HUMPPILA,1978-03-15,
1.2.246.562.10.24665793824,NILSBYN ESIOPETUS,NILSBYN ESIOPETUS,17,['jm01'],kj98,LIELAHDENTIE 244,21610,KIRJALA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2016-08-16,,1.2.246.562.10.18493647723,Siilinjärven kunta,0172718-0,KUNTA,,KASURILANTIE 1,71800,SIILINJÄRVI,1978-03-15,
1.2.246.562.10.24723035234,PIISPANLÄHTEEN PÄIVÄKOTI,PIISPANLÄHTEEN PÄIVÄKOTI,136,['jm01'],kj98,POIKLUOMANTIE 25,20760,PIISPANRISTI,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2010-01-01,,1.2.246.562.10.94187242253,Hyrynsalmen kunta,0185075-2,KUNTA,,Laskutie 1,89400,HYRYNSALMI,1978-03-15,
1.2.246.562.10.24760910547,Talvikankaan päiväkoti,Talvikankaan päiväkoti,90,['jm01'],kj98,Tuiskutie 10,90630,OULU,tm01,True,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,2004-01-01,,1.2.246.562.10.99711793432,Kuortaneen kunta,0180117-6,KUNTA,,Keskustie 52,63100,KUORTANE,1978-03-15,
1.2.246.562.10.24770302867,HAMINAN PÄIVÄKOTI,HAMINAN PÄIVÄKOTI,46,['jm01'],kj98,VALTARINTIE 11 A,91100,II,tm01,True,0,0,0,0,0,1,1,0,0,0,False,1,0,0,,1977-01-01,,1.2.246.562.10.80381044462,Oulun kaupunki,0187690-1,KUNTA,,Torikatu 10 A,90100,OULU,1978-03-15,
1.2.246.562.10.24783891005,Isolahden päiväkoti,Isolahden päiväkoti,69,['jm01'],kj98,Muurahaistie 2 D,65230,VAASA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,1,,2005-01-01,,1.2.246.562.10.19292590627,Varkauden kaupunki,0173416-1,KUNTA,,AHLSTRÖMINKATU 6,78250,VARKAUS,1978-03-15,
1.2.246.562.10.24849477153,Sepänkannaksen päiväkoti,Sepänkannaksen päiväkoti,105,['jm01'],kj98,Sepänrinteentie 2,02480,KIRKKONUMMI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2017-12-01,,1.2.246.562.10.17889054155,Kauhavan kaupunki,0208852-8,KUNTA,,Kauppatie 109,62200,KAUHAVA,1978-06-30,
1.2.246.562.10.24857960900,HANHIJOEN PÄIVÄKOTI,HANHIJOEN PÄIVÄKOTI,56,['jm01'],kj98,RAJANTIE 4,21540,PREITILÄ,tm01,False,0,0,0,0,0,0,0,0,0,1,False,0,0,0,,1990-11-01,,1.2.246.562.10.95000650127,Nokian kaupunki,0205717-4,KUNTA,,Harjukatu 23,37100,NOKIA,1978-06-30,
1.2.246.562.10.24925237844,Länsi-Puijon päiväkoti,Länsi-Puijon päiväkoti,122,['jm01'],kj98,Suurmäentie 228,70280,KUOPIO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2003-01-01,,1.2.246.562.10.55981449824,Tuusniemen kunta,0173128-6,KUNTA,,KESKITIE 22,71200,TUUSNIEMI,1978-03-15,
